,j0,j1,h0,h1,lr,noise,stim_noise,count_thresh,width_scaling,n_stim,EMD_IDR_STIM,EMD_IDR_UNIFORM,EMD_NDR_STIM,EMD_NDR_UNIFORM,IDR_CORRECT_BIAS_MSE,IDR_INCORRECT_BIAS_MSE,NDR_CORRECT_BIAS_MSE,NDR_INCORRECT_BIAS_MSE
107,0.1,3.0,0.30000000000000004,0.4,0.005,0.0,0.0,0.9,1,300,0.07849938168655075,0.04328531504049514,0.036625605510209505,0.07970142225545146,0.003029672323702489,0.001402325542677448,0.00011888650215913696,0.006405487091939911
108,0.1,3.0,0.30000000000000004,0.5,0.005,0.0,0.0,0.97,1,300,0.06466507853004813,0.052637662698588064,0.03429740598192236,0.08201426337356109,0.006164032168883884,0.0007856941772643667,0.00041228977646985834,0.006368949322053057
109,0.1,3.0,0.30000000000000004,0.5,0.005,0.0,0.0,0.9,1,300,0.06356379083479698,0.053141019231920626,0.03817262849852139,0.07859867604091131,0.00654184560608022,0.0009460539736296143,0.0003402202643530007,0.007728193720978348
110,0.1,3.0,0.5,0.1,0.005,0.0,0.0,0.97,1,300,,,,,,,,
111,0.1,3.0,0.5,0.1,0.005,0.0,0.0,0.9,1,300,,,,,,,,
112,0.1,3.0,0.5,0.2,0.005,0.0,0.0,0.97,1,300,0.07768195109111857,0.0425854567220482,0.06210698018671387,0.055655801642354494,0.00010033924353766508,0.00011541960958175992,7.5018978884912e-05,0.00011851529884505504
113,0.1,3.0,0.5,0.2,0.005,0.0,0.0,0.9,1,300,0.0776922173888771,0.04305864628370488,0.062375854492105524,0.055792133468505645,9.944338027406463e-05,9.228252618204656e-05,3.101552498059959e-05,0.00014404343870262295
114,0.1,3.0,0.5,0.30000000000000004,0.005,0.0,0.0,0.97,1,300,0.08092383319295562,0.036111736388155624,0.06183653800102437,0.054666694585868224,0.0003798624725568969,0.0001167388409702602,9.257611956965549e-05,0.000335663058767652
115,0.1,3.0,0.5,0.30000000000000004,0.005,0.0,0.0,0.9,1,300,0.08092117643127317,0.0367538806384599,0.061845660301696206,0.05514490533824308,0.0006565358497878946,0.0002495030516648001,7.443251645251737e-05,0.0007859924310385187
116,0.1,3.0,0.5,0.4,0.005,0.0,0.0,0.97,1,300,0.08980923541741037,0.02966339004603191,0.06655109040676382,0.05827931088704237,0.0003426152372643112,0.00030318783166820686,0.00010245304764767921,0.0004128614840869893
